name,cases,date,day,diff,double.time
Afghanistan,0,2020-02-06,-51,NA,NA
Afghanistan,0,2020-02-07,-50,NaN,NaN
Afghanistan,0,2020-02-08,-49,NaN,NaN
Afghanistan,0,2020-02-09,-48,NaN,NaN
Afghanistan,0,2020-02-10,-47,NaN,NaN
Afghanistan,0,2020-02-11,-46,NaN,NaN
Afghanistan,0,2020-02-12,-45,NaN,NaN
Afghanistan,0,2020-02-13,-44,NaN,NaN
Afghanistan,0,2020-02-14,-43,NaN,NaN
Afghanistan,0,2020-02-15,-42,NaN,NaN
Afghanistan,0,2020-02-16,-41,NaN,NaN
Afghanistan,0,2020-02-17,-40,NaN,NaN
Afghanistan,0,2020-02-18,-39,NaN,NaN
Afghanistan,0,2020-02-19,-38,NaN,NaN
Afghanistan,0,2020-02-20,-37,NaN,NaN
Afghanistan,0,2020-02-21,-36,NaN,NaN
Afghanistan,0,2020-02-22,-35,NaN,NaN
Afghanistan,0,2020-02-23,-34,NaN,NaN
Afghanistan,1,2020-02-24,-33,Inf,0
Afghanistan,1,2020-02-25,-32,1,Inf
Afghanistan,1,2020-02-26,-31,1,Inf
Afghanistan,1,2020-02-27,-30,1,Inf
Afghanistan,1,2020-02-28,-29,1,Inf
Afghanistan,1,2020-02-29,-28,1,Inf
Afghanistan,1,2020-03-01,-27,1,Inf
Afghanistan,1,2020-03-02,-26,1,Inf
Afghanistan,1,2020-03-03,-25,1,Inf
Afghanistan,1,2020-03-04,-24,1,Inf
Afghanistan,1,2020-03-05,-23,1,Inf
Afghanistan,1,2020-03-06,-22,1,Inf
Afghanistan,4,2020-03-07,-21,4,0.5
Afghanistan,4,2020-03-08,-20,1,Inf
Afghanistan,4,2020-03-09,-19,1,Inf
Afghanistan,4,2020-03-10,-18,1,Inf
Afghanistan,7,2020-03-11,-17,1.75,1.238612625846667
Afghanistan,7,2020-03-12,-16,1,Inf
Afghanistan,7,2020-03-13,-15,1,Inf
Afghanistan,7,2020-03-14,-14,1,Inf
Afghanistan,16,2020-03-15,-13,2.2857142857142856,0.8384724160562875
Afghanistan,21,2020-03-16,-12,1.3125,2.5489563856661306
Afghanistan,73,2020-03-17,-11,3.4761904761904763,0.5563260250354123
Afghanistan,73,2020-03-18,-10,1,Inf
Afghanistan,22,2020-03-19,-9,0.3013698630136986,-0.5779034210921661
Afghanistan,22,2020-03-20,-8,1,Inf
Afghanistan,24,2020-03-21,-7,1.0909090909090908,7.966167236297811
Afghanistan,24,2020-03-22,-6,1,Inf
Afghanistan,34,2020-03-23,-5,1.4166666666666667,1.9900484026476475
Afghanistan,42,2020-03-24,-4,1.2352941176470589,3.2802524895194076
Afghanistan,42,2020-03-25,-3,1,Inf
Afghanistan,94,2020-03-26,-2,2.238095238095238,0.8603842227691932
Afghanistan,94,2020-03-27,-1,1,Inf
Afghanistan,110,2020-03-28,0,1.1702127659574468,4.4097376173248914
Afghanistan,145,2020-03-29,1,1.3181818181818181,2.509099396431753
Afghanistan,145,2020-03-30,2,1,Inf
Afghanistan,145,2020-03-31,3,1,Inf
Afghanistan,239,2020-04-01,4,1.6482758620689655,1.387043893255634
Afghanistan,239,2020-04-02,5,1,Inf
Afghanistan,274,2020-04-03,6,1.1464435146443515,5.071887025251089
Afghanistan,299,2020-04-04,7,1.0912408759124088,7.938423790817914
Afghanistan,349,2020-04-05,8,1.1672240802675586,4.482665603600593
Afghanistan,367,2020-04-06,9,1.0515759312320916,13.783022520213324
Afghanistan,367,2020-04-07,10,1,Inf
Afghanistan,423,2020-04-08,11,1.1525885558583107,4.880963065992851
Afghanistan,484,2020-04-09,12,1.1442080378250592,5.145372620292402
Afghanistan,521,2020-04-10,13,1.0764462809917354,9.409433380041841
Afghanistan,555,2020-04-11,14,1.0652591170825336,10.964383422448481
